Date,Team 1,Team 2,FT,HT
2015-08-21,Malaga,Sevilla,0-0,0-0
2015-08-22,Ath Madrid,Las Palmas,1-0,1-0
2015-08-22,Espanol,Getafe,1-0,1-0
2015-08-22,La Coruna,Sociedad,0-0,0-0
2015-08-22,Vallecano,Valencia,0-0,0-0
2015-08-23,Ath Bilbao,Barcelona,0-1,0-0
2015-08-23,Betis,Villarreal,1-1,0-1
2015-08-23,Levante,Celta,1-2,0-1
2015-08-23,Sp Gijon,Real Madrid,0-0,0-0
2015-08-24,Granada,Eibar,1-3,0-2
2015-08-28,Villarreal,Espanol,3-1,0-1
2015-08-29,Barcelona,Malaga,1-0,0-0
2015-08-29,Celta,Vallecano,3-0,1-0
2015-08-29,Real Madrid,Betis,5-0,2-0
2015-08-29,Sociedad,Sp Gijon,0-0,0-0
2015-08-30,Eibar,Ath Bilbao,2-0,1-0
2015-08-30,Getafe,Granada,1-2,0-2
2015-08-30,Las Palmas,Levante,0-0,0-0
2015-08-30,Sevilla,Ath Madrid,0-3,0-1
2015-08-30,Valencia,La Coruna,1-1,1-1
2015-09-11,Levante,Sevilla,1-1,0-1
2015-09-12,Ath Madrid,Barcelona,1-2,0-0
2015-09-12,Betis,Sociedad,1-0,1-0
2015-09-12,Espanol,Real Madrid,0-6,0-4
2015-09-12,Sp Gijon,Valencia,0-1,0-0
2015-09-13,Ath Bilbao,Getafe,3-1,2-0
2015-09-13,Celta,Las Palmas,3-3,2-1
2015-09-13,Granada,Villarreal,1-3,0-0
2015-09-13,Malaga,Eibar,0-0,0-0
2015-09-14,Vallecano,La Coruna,1-3,1-2
2015-09-18,Getafe,Malaga,1-0,1-0
2015-09-19,Eibar,Ath Madrid,0-2,0-0
2015-09-19,Real Madrid,Granada,1-0,0-0
2015-09-19,Sociedad,Espanol,2-3,1-1
2015-09-19,Valencia,Betis,0-0,0-0
2015-09-20,Barcelona,Levante,4-1,0-0
2015-09-20,La Coruna,Sp Gijon,2-3,2-3
2015-09-20,Las Palmas,Vallecano,0-1,0-1
2015-09-20,Sevilla,Celta,1-2,0-2
2015-09-20,Villarreal,Ath Bilbao,3-1,1-0
2015-09-22,Ath Madrid,Getafe,2-0,1-0
2015-09-22,Espanol,Valencia,1-0,1-0
2015-09-22,Granada,Sociedad,0-3,0-2
2015-09-23,Ath Bilbao,Real Madrid,1-2,0-1
2015-09-23,Celta,Barcelona,4-1,2-0
2015-09-23,Las Palmas,Sevilla,2-0,1-0
2015-09-23,Levante,Eibar,2-2,0-1
2015-09-23,Malaga,Villarreal,0-1,0-0
2015-09-23,Vallecano,Sp Gijon,2-1,1-0
2015-09-24,Betis,La Coruna,1-2,0-0
2015-09-25,Valencia,Granada,1-0,1-0
2015-09-26,Barcelona,Las Palmas,2-1,1-0
2015-09-26,Eibar,Celta,1-1,1-0
2015-09-26,Real Madrid,Malaga,0-0,0-0
2015-09-26,Sevilla,Vallecano,3-2,2-0
2015-09-26,Villarreal,Ath Madrid,1-0,1-0
2015-09-27,Getafe,Levante,3-0,0-0
2015-09-27,La Coruna,Espanol,3-0,2-0
2015-09-27,Sociedad,Ath Bilbao,0-0,0-0
2015-09-27,Sp Gijon,Betis,1-2,1-0
2015-10-02,Celta,Getafe,0-0,0-0
2015-10-03,Espanol,Sp Gijon,1-2,0-1
2015-10-03,Granada,La Coruna,1-1,0-1
2015-10-03,Las Palmas,Eibar,0-2,0-1
2015-10-03,Malaga,Sociedad,3-1,2-1
2015-10-03,Sevilla,Barcelona,2-1,0-0
2015-10-04,Ath Bilbao,Valencia,3-1,1-1
